Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,9139
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,233332
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,,4953
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Recoveries,,-910033
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,4252436
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,546794
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,29250
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,2942524
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,14186
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,15947
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,4744986
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,21919
Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Recoveries,,-1216600
Education,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Education,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act",16846
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Salaries and wages,,70092678
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Employee benefits,,8878587
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transportation and communication,,552147
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Services,,38223721
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Supplies and equipment,,288975
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Priorities and Partnerships Funding - School Boards,603415442
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Priorities and Partnerships Funding - Third Parties,115410121
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,School Board Operating Grants,23137217931
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Education Property Tax Non-Cash Expense,7172141101
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Official Languages Projects,67968642
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Education Quality and Accountability Office,26426164
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Provincial Benefits Trust,1800000
Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,,Transfer payments,Partner Sustainability Grants,1658594
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Salaries and wages,,43025039
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Employee benefits,,6260189
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Transportation and communication,,830616
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Services,,15949083
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Supplies and equipment,,3857598
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Transfer payments,Payments in lieu of municipal taxation,38850
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Transfer payments,Provincial Schools Student Enhancement Program,69908
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Transfer payments,Office des télécommunications éducatives de langue française de l'Ontario,29839700
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Transfer payments,Ontario Educational Communications Authority,49106800
Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,,Recoveries,,-174184
Education,Capital Expense,Elementary and Secondary Education Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",2546396
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Salaries and wages,,34921534
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Employee benefits,,4520415
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Transportation and communication,,246154
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Services,,45946290
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Supplies and equipment,,53616
Education,Operating Expense,Community Services Information and Information Technology Cluster Program,Community Services Information and Information Technology Cluster,,Recoveries,,-27581061
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Salaries and wages,,19048780
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Employee benefits,,2927884
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Transportation and communication,,430073
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Services,,4275432
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Supplies and equipment,,95178
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Transfer payments,Childcare Access and Relief from Expenses Tax Credit,345602453
Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,,Transfer payments,Child Care and Early Years,3880562481
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,Investing in Canada Infrastructure Program (ICIP),70606027
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,School Board Capital Grants,2050308328
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,Early Learning Program,9001254
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,School Board – Capital funding for child care,94430731
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,Office des télécommunications éducatives de langue française de l'Ontario - Capital,1000000
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Transfer payments,Ontario Education Communications Authority - Capital,1536000
Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,,Other transactions,Support for Elementary and Secondary Education,8168044
Education,Operating Expense,Elementary and Secondary Education Program,Statutory Appropriations,,Transfer payments,"Government Costs, the Teachers' Pension Act",1652368862
Education,Capital Expense,Child Care and Early Years Programs,Child Care Capital,,Transfer payments,Child Care and Early Years Capital,109250671
Education,Capital Expense,Child Care and Early Years Programs,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",1158253
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Salaries and wages,,15294344
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Employee benefits,,1698138
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transportation and communication,,310897
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Services,,10447042
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Supplies and equipment,,54675
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Ontario Indigenous Representative Organization Fund,1874900
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Indigenous Economic Development Fund,11685164
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Participation Fund,5091490
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Support for Community Negotiations Fund,12345701
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Policy Development Engagement Fund,7332113
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,New Relationship Fund,11874500
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Métis Economic Development Fund,96965
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Transfer payments,Support for Indian Residential School Burial Sites,31388447
Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,,Recoveries,,-1503400
Indigenous Affairs,Operating Expense,Ministry Administration Program,Land Claims and Self-Government Initiatives,,Services,,4980
Indigenous Affairs,Operating Expense,Ministry Administration Program,Land Claims and Self-Government Initiatives,,Transfer payments,Land Claim Settlements,17150381
Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,,Salaries and wages,,5908103
Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,,Employee benefits,,704567
Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,,Transportation and communication,,179611
Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,,Services,,7790228
Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,,Supplies and equipment,,91195
Indigenous Affairs,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Transfer payments,"Mercury Disability Fund – Trustee, English and Wabigoon River Systems Mercury Contamination Settlement Agreement Act, 1986",1885500
Indigenous Affairs,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",1042
Indigenous Affairs,Capital Expense,Ministry Administration Program,Indigenous Affairs Capital Program,,Transfer payments,Indigenous Community Capital Grants Program,4856111
Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,,Salaries and wages,,18512327
Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,,Employee benefits,,4185367
Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,,Transportation and communication,,461422
Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,,Services,,4523837
Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,,Supplies and equipment,,528539
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Salaries and wages,,15369308
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Employee benefits,,5027078
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Transportation and communication,,260947
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Services,,5047918
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Supplies and equipment,,431843
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,,Transfer payments,CAAF-FCAR Inc,12000
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Statutory Appropriations,The Auditor General Act,Salaries and wages,,307339
Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Statutory Appropriations,The Auditor General Act,Services,,212262
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Ontario Electricity Support Program,164740417
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Distribution Rate Protection,374438079
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Rural or Remote Rate Protection Program,252250150
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Northern Ontario Energy Credit,29100400
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Ontario Electricity Rebate,1875270466
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Comprehensive Electricity Plan,3208576224
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,Fair Hydro Trust Financing Costs,63712218
Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,,Transfer payments,On-Reserve First Nations Delivery Credit,28368660
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Salaries and wages,,14758012
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Employee benefits,,1937361
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Transportation and communication,,107683
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Services,,3046800
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Supplies and equipment,,22210
Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,,Transfer payments,"Energy Support, Engagement and Indigenous Partnership Programs",6083347
Energy,Operating Expense,Energy Development and Management Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",4739
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,2499214
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,276082
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,112293
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,76866
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,11440
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,,198680
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,,28625
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,3173
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,13241
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,2967732
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,404240
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,18194
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,233989
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,33600
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and wages,,1943451
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee benefits,,267047
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Transportation and communication,,28037
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Services,,332789
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Supplies and equipment,,4619
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,11246
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,3953952
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,14461
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,,452
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,,645915
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Recoveries,,-340000
Energy,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Energy,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",33334
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,453
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,24646
Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Recoveries,,-424000
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,2505064
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,323681
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,37248
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,86859
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,18337
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,,3620227
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,,572020
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,7233
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,2602301
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,,11068
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,910033
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,2411110
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,309318
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,10800
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,302777
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,5520
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,1216600
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,,2829
Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,,867528
Colleges and Universities,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Colleges and Universities,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",16667
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Salaries and wages,,25942157
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Employee benefits,,3644540
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transportation and communication,,415668
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Services,,16907588
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Supplies and equipment,,52727
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,Grants for Indigenous Institute Operating Costs,33828767
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,Grants for College Operating Costs,1344474492
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,Grants for University Operating Costs,3804397352
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,"Council of Ministers of Education, Canada",808698
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,Postsecondary Transformation,13600000
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Transfer payments,Student Financial Assistance Programs,1316184242
Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",,Recoveries,,-412597
Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,,Other transactions,"Bad Debt Expenses for Defaulted Student Loans, the Financial Administration Act",38945064
Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,,Other transactions,"Training Completion Assurance Fund, the Private Career Colleges Act",252638
Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,,Other transactions,"Bad Debt Expenses for Private Career Colleges, the Financial Administration Act",400000
Colleges and Universities,Operating Expense,Research Program,Research Support,,Salaries and wages,,6083669
Colleges and Universities,Operating Expense,Research Program,Research Support,,Employee benefits,,770278
Colleges and Universities,Operating Expense,Research Program,Research Support,,Transportation and communication,,35454
Colleges and Universities,Operating Expense,Research Program,Research Support,,Services,,1317291
Colleges and Universities,Operating Expense,Research Program,Research Support,,Supplies and equipment,,66568
Colleges and Universities,Operating Expense,Research Program,Research Support,,Transfer payments,Intellectual Property Ontario,7682300
Colleges and Universities,Operating Expense,Research Program,Research Support,,Transfer payments,Grants for Research Operating Costs,172613407
Colleges and Universities,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,,Transfer payments,Capital Grants - Colleges,95892516
Colleges and Universities,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,,Transfer payments,Capital Grants - Universities,111071512
Colleges and Universities,Capital Expense,Postsecondary Education Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",824713
Colleges and Universities,Capital Expense,Research Program,Research Support,,Transfer payments,Ontario Research Fund - Research Infrastructure,99599100
Colleges and Universities,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,,Transfer payments,Capital Grants – Indigenous Institutes,4699900
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,3155619
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,353880
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,46706
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,129709
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,13904
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,2194039
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,271481
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,17270
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,2509643
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,7408
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,3020
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,1579230
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,29352
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,,3694794
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,,438520
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,,20190
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,,393872
Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,,21185
Infrastructure,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister’s Salary, the Executive Council Act",98602
Infrastructure,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act",24584
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects","Infrastructure Strategy, Policy and Research",Salaries and wages,,3701024
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects","Infrastructure Strategy, Policy and Research",Employee benefits,,622370
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects","Infrastructure Strategy, Policy and Research",Transportation and communication,,14021
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects","Infrastructure Strategy, Policy and Research",Services,,626574
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects","Infrastructure Strategy, Policy and Research",Supplies and equipment,,1913
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Salaries and wages,,11560286
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Employee benefits,,1737985
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Transportation and communication,,48541
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Services,,32951470
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Supplies and equipment,,10417
Infrastructure,Operating Expense,"Infrastructure Policy, Planning, and Projects","Infrastructure Policy, Planning, and Projects",Infrastructure Program Design & Delivery,Transfer payments,Asset Management,825103
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Broadband and Cellular Infrastructure,93419687
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Rural and Northern Infrastructure – Federal Contributions,25931346
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Rural and Northern Infrastructure – Provincial Contributions,13363601
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,"Community, Culture and Recreation (Provincial Contribution)",57754546
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,"Community, Culture and Recreation (Federal Contribution)",77531056
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Green Infrastructure (Provincial Contribution),49060539
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Green Infrastructure (Federal Contribution),77716326
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,ICIP - COVID-19 Resilience (Provincial Contribution),19652680
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,ICIP - COVID-19 Resilience (Federal Contribution),78610862
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Clean Water and Wastewater Fund – Federal Contribution,1380369
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Clean Water and Wastewater Fund – Provincial Contribution,624431
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Federal – Provincial Infrastructure Programs – Provincial Contributions,14132307
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Federal – Provincial Infrastructure Programs – Federal Contributions,10605071
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Municipal Infrastructure,389012916
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Priority Local Infrastructure – Strategic Priorities and Infrastructure Fund,29686514
Infrastructure,Capital Expense,"Infrastructure Policy, Planning, and Projects",Infrastructure Programs,,Transfer payments,Sports and Community Renewal - Strategic Priority Infrastructure Fund,5273018
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,811186
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,103965
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,5034
Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,127248
